x1,x2,y
-0.5,-0.16589613269341502,0.0
-0.4475,-0.14861410478244932,0.0
-0.395,-0.13128656496341362,0.0
-0.3425,-0.11391881965995101,0.0
-0.29000000000000004,-0.09651618760832008,0.0
-0.2375,-0.07908399822857329,0.0
-0.185,-0.061627589992463865,0.0
-0.1325,-0.04415230878858048,0.0
-0.08000000000000002,-0.026663506285210723,0.0
-0.027500000000000024,-0.009166538291434425,0.0
0.025000000000000022,0.008333236883050954,0.0
0.07750000000000001,0.025830460068870756,0.0
0.13,0.043319772878176954,0.0
0.1825,0.0607958193456125,0.0
0.235,0.07825324756853384,0.0
0.2875,0.0956867113459893,0.0
0.33999999999999997,0.11309087181595134,0.0
0.39249999999999996,0.1304603990903013,0.0
0.44499999999999995,0.14778997388706594,0.0
0.49749999999999994,0.16507428915940617,0.0
0.55,0.18230805172085843,0.0
0.6025,0.1994859838663317,0.0
0.655,0.2166028249883636,0.0
0.7075,0.23365333318814022,0.0
0.76,0.2506322868807866,0.0
0.8125,0.2675344863944362,0.0
0.865,0.2843547555625904,0.0
0.9175,0.30108794330927796,0.0
0.97,0.3177289252265326,0.0
1.0225,0.3342726051437029,0.0
1.075,0.3507139166881141,0.0
1.1275,0.36704782483660564,0.0
1.18,0.38326932745746767,0.0
1.2325,0.3993734568423045,0.0
1.285,0.4153552812273567,0.0
1.3375,0.4312099063038151,0.0
1.39,0.44693247671666464,0.0
1.4425,0.4625181775515988,0.0
1.4949999999999999,0.47796223580954983,0.0
1.5474999999999999,0.4932599218683818,0.0
1.6,0.5084065509313012,0.0
1.6524999999999999,0.5233974844615382,0.0
1.705,0.5382281316028639,0.0
1.7574999999999998,0.5528939505855025,0.0
1.81,0.5673904501170141,0.0
1.8624999999999998,0.5817131907577168,0.0
1.915,0.5958577862802314,0.0
1.9674999999999998,0.6098199050127289,0.0
2.02,0.6235952711654708,0.0
2.0725,0.6371796661402362,0.0
2.125,0.6505689298222358,0.0
2.1774999999999998,0.6637589618541128,0.0
2.23,0.6767457228916467,0.0
2.2824999999999998,0.6895252358407699,0.0
2.335,0.7020935870755224,0.0
2.3874999999999997,0.7144469276365684,0.0
2.44,0.7265814744099113,0.0
2.4924999999999997,0.7384935112854407,0.0
2.545,0.7501793902949649,0.0
2.5974999999999997,0.7616355327293698,0.0
2.65,0.7728584302345725,0.0
2.7024999999999997,0.7838446458859263,0.0
2.755,0.794590815240753,0.0
2.8074999999999997,0.8050936473686761,0.0
2.86,0.8153499258594432,0.0
2.9125,0.8253565098079263,0.0
2.965,0.8351103347759992,0.0
3.0175,0.8446084137309984,0.0
3.07,0.8538478379604775,0.0
3.1225,0.8628257779629789,0.0
3.175,0.8715394843145453,0.0
3.2275,0.8799862885107101,0.0
3.28,0.8881636037837057,0.0
3.3325,0.896068925894641,0.0
3.385,0.903699833900405,0.0
3.4375,0.9110539908950616,0.0
3.4899999999999998,0.9181291447255089,0.0
3.5424999999999995,0.9249231286811832,0.0
3.5949999999999998,0.9314338621575979,0.0
3.6475,0.9376593512935117,0.0
3.7,0.9435976895815331,0.0
3.7524999999999995,0.9492470584519732,0.0
3.8049999999999997,0.9546057278297694,0.0
3.8575,0.9596720566643063,0.0
3.91,0.964444493431975,0.0
